[Worker:RC_2025-09.zst] Starting scan
[Worker:RC_2025-12.zst] Starting scan
[Worker:RC_2025-12.zst] comments=100,000 active_words=6,030 remaining=5,947
[Worker:RC_2025-09.zst] comments=100,000 active_words=6,049 remaining=5,957
[Worker:RC_2025-12.zst] comments=200,000 active_words=6,326 remaining=5,529
[Worker:RC_2025-09.zst] comments=200,000 active_words=6,340 remaining=5,515
[Worker:RC_2025-12.zst] comments=300,000 active_words=6,391 remaining=5,241
[Worker:RC_2025-09.zst] comments=300,000 active_words=6,382 remaining=5,249
[Worker:RC_2025-12.zst] comments=400,000 active_words=6,413 remaining=4,978
[Worker:RC_2025-09.zst] comments=400,000 active_words=6,410 remaining=4,993
[Worker:RC_2025-12.zst] comments=500,000 active_words=6,423 remaining=4,703
[Worker:RC_2025-09.zst] comments=500,000 active_words=6,417 remaining=4,727
[Worker:RC_2025-12.zst] comments=600,000 active_words=6,423 remaining=4,514
[Worker:RC_2025-09.zst] comments=600,000 active_words=6,420 remaining=4,516
[Worker:RC_2025-12.zst] comments=700,000 active_words=6,423 remaining=4,346
[Worker:RC_2025-09.zst] comments=700,000 active_words=6,421 remaining=4,371
[Worker:RC_2025-12.zst] comments=800,000 active_words=6,423 remaining=4,223
[Worker:RC_2025-09.zst] comments=800,000 active_words=6,421 remaining=4,220
[Worker:RC_2025-12.zst] comments=900,000 active_words=6,423 remaining=4,074
[Worker:RC_2025-09.zst] comments=900,000 active_words=6,421 remaining=4,106
[Worker:RC_2025-12.zst] comments=1,000,000 active_words=6,423 remaining=3,958
[Worker:RC_2025-09.zst] comments=1,000,000 active_words=6,421 remaining=3,991
[Worker:RC_2025-12.zst] comments=1,100,000 active_words=6,423 remaining=3,862
[Worker:RC_2025-09.zst] comments=1,100,000 active_words=6,422 remaining=3,865
[Worker:RC_2025-12.zst] comments=1,200,000 active_words=6,423 remaining=3,745
[Worker:RC_2025-09.zst] comments=1,200,000 active_words=6,423 remaining=3,756
[Worker:RC_2025-09.zst] comments=1,300,000 active_words=6,423 remaining=3,639
[Worker:RC_2025-12.zst] comments=1,300,000 active_words=6,423 remaining=3,638
[Worker:RC_2025-12.zst] comments=1,400,000 active_words=6,423 remaining=3,528
[Worker:RC_2025-09.zst] comments=1,400,000 active_words=6,423 remaining=3,529
[Worker:RC_2025-12.zst] comments=1,500,000 active_words=6,423 remaining=3,412
[Worker:RC_2025-09.zst] comments=1,500,000 active_words=6,423 remaining=3,423
[Worker:RC_2025-12.zst] comments=1,600,000 active_words=6,423 remaining=3,298
[Worker:RC_2025-09.zst] comments=1,600,000 active_words=6,423 remaining=3,305
[Worker:RC_2025-12.zst] comments=1,700,000 active_words=6,423 remaining=3,188
